event_id,session_id,session_date,session_type,opponent,game_minute,shooter_role,shot_type,velocity_kmh,target_y,target_z,reaction_time_ms,acceleration_g,technique,heart_rate,outcome
evt_00038,S_002,2023-09-08,GAME,ARSENAL,2,PV,LOB,92,1.54,1.36,270,5.83,SPLIT,132,SAVE
evt_00039,S_002,2023-09-08,GAME,ARSENAL,4,LB,LOB,86,2.54,0.26,376,2.38,BASIC,124,GOAL
evt_00040,S_002,2023-09-08,GAME,ARSENAL,6,CB,BOUNCE,93,2.35,1.12,244,4.08,STAR,135,SAVE
evt_00041,S_002,2023-09-08,GAME,ARSENAL,8,LW,JUMP,73,1.96,0.54,264,5.05,BASIC,134,SAVE
evt_00042,S_002,2023-09-08,GAME,ARSENAL,10,RB,HIP,74,0.39,1.7,328,1.57,SPLIT,149,GOAL
evt_00043,S_002,2023-09-08,GAME,ARSENAL,12,RB,BOUNCE,109,1.82,1.26,215,5.69,BASIC,145,SAVE
evt_00044,S_002,2023-09-08,GAME,ARSENAL,14,LW,7M,94,2.5,1.58,487,3.05,BASIC,137,GOAL
evt_00045,S_002,2023-09-08,GAME,ARSENAL,16,PV,HIP,83,0.44,0.3,392,1.7,BASIC,131,GOAL
evt_00046,S_002,2023-09-08,GAME,ARSENAL,18,CB,7M,81,1.53,1.27,280,2.51,BASIC,145,MISS
evt_00047,S_002,2023-09-08,GAME,ARSENAL,20,RB,JUMP,71,2.74,0.47,456,2.48,BASIC,133,GOAL
evt_00048,S_002,2023-09-08,GAME,ARSENAL,22,RB,7M,94,2.47,0.99,243,4.87,STAR,145,SAVE
evt_00049,S_002,2023-09-08,GAME,ARSENAL,24,LW,7M,104,2.69,0.44,336,2.19,BASIC,154,GOAL
evt_00050,S_002,2023-09-08,GAME,ARSENAL,26,CB,BOUNCE,95,0.34,0.19,390,1.62,BASIC,140,GOAL
evt_00051,S_002,2023-09-08,GAME,ARSENAL,28,RB,7M,108,1.83,1.45,368,1.24,BASIC,162,MISS
evt_00052,S_002,2023-09-08,GAME,ARSENAL,30,RB,BOUNCE,79,1.83,1.03,268,3.69,STAR,149,SAVE
evt_00053,S_002,2023-09-08,GAME,ARSENAL,32,RW,BOUNCE,75,2.6,1.75,499,2.27,SPLIT,144,GOAL
evt_00054,S_002,2023-09-08,GAME,ARSENAL,34,CB,HIP,106,0.25,0.4,342,1.09,BASIC,163,GOAL
evt_00055,S_002,2023-09-08,GAME,ARSENAL,36,PV,HIP,81,0.5,0.34,325,2.51,SPLIT,146,GOAL
evt_00056,S_002,2023-09-08,GAME,ARSENAL,38,LW,BOUNCE,87,0.31,0.48,337,1.44,BASIC,157,GOAL
evt_00057,S_002,2023-09-08,GAME,ARSENAL,40,RB,LOB,109,1.23,0.74,275,1.93,BASIC,147,MISS
evt_00058,S_002,2023-09-08,GAME,ARSENAL,42,RB,LOB,81,2.61,0.46,412,3.28,BASIC,144,GOAL
evt_00059,S_002,2023-09-08,GAME,ARSENAL,44,LB,7M,93,2.83,0.17,497,1.59,SPLIT,164,GOAL
evt_00060,S_002,2023-09-08,GAME,ARSENAL,46,RW,7M,93,1.68,1.05,192,5.95,SPLIT,167,SAVE
evt_00061,S_002,2023-09-08,GAME,ARSENAL,48,RW,HIP,71,1.99,0.88,270,4.79,STAR,159,SAVE
evt_00062,S_002,2023-09-08,GAME,ARSENAL,50,RB,JUMP,91,1.31,1.13,367,2.85,BASIC,150,MISS
evt_00063,S_002,2023-09-08,GAME,ARSENAL,52,LW,JUMP,84,1.86,1.11,340,1.43,BASIC,163,MISS
evt_00064,S_002,2023-09-08,GAME,ARSENAL,54,LW,LOB,71,2.65,0.28,421,1.11,BASIC,179,GOAL
evt_00065,S_002,2023-09-08,GAME,ARSENAL,56,LW,LOB,86,2.72,0.21,485,2.56,SPLIT,182,GOAL
evt_00066,S_002,2023-09-08,GAME,ARSENAL,58,RB,BOUNCE,101,0.32,1.63,488,1.82,SPLIT,183,GOAL
evt_00067,S_003,2023-09-13,GAME,CF OS BELENENSES,1,LB,HIP,96,2.83,0.25,449,1.0,BASIC,142,GOAL
evt_00068,S_003,2023-09-13,GAME,CF OS BELENENSES,1,LB,HIP,75,0.24,0.37,338,3.25,SPLIT,129,GOAL
evt_00069,S_003,2023-09-13,GAME,CF OS BELENENSES,3,PV,7M,96,0.46,1.88,444,2.24,SPLIT,135,GOAL
evt_00070,S_003,2023-09-13,GAME,CF OS BELENENSES,4,CB,7M,92,2.59,1.73,418,3.19,BASIC,125,GOAL
evt_00071,S_003,2023-09-13,GAME,CF OS BELENENSES,6,RW,JUMP,73,0.55,1.29,232,4.99,BASIC,143,SAVE
evt_00072,S_003,2023-09-13,GAME,CF OS BELENENSES,8,RB,LOB,73,1.69,1.45,222,3.75,BLOCK,130,SAVE
evt_00073,S_003,2023-09-13,GAME,CF OS BELENENSES,9,CB,JUMP,75,0.34,0.1,469,1.22,BASIC,143,GOAL
evt_00074,S_003,2023-09-13,GAME,CF OS BELENENSES,11,CB,7M,107,1.15,1.01,211,1.46,BASIC,136,MISS
evt_00075,S_003,2023-09-13,GAME,CF OS BELENENSES,12,LB,LOB,82,2.63,1.64,375,3.06,SPLIT,138,GOAL
evt_00076,S_003,2023-09-13,GAME,CF OS BELENENSES,14,CB,BOUNCE,95,2.17,0.94,268,4.25,SPLIT,154,SAVE
evt_00077,S_003,2023-09-13,GAME,CF OS BELENENSES,16,LW,BOUNCE,78,0.49,1.84,331,1.03,SPLIT,134,GOAL
evt_00078,S_003,2023-09-13,GAME,CF OS BELENENSES,17,LW,BOUNCE,73,0.5,1.84,290,1.9,BASIC,137,GOAL
evt_00079,S_003,2023-09-13,GAME,CF OS BELENENSES,19,LW,7M,105,0.31,1.51,411,2.63,SPLIT,141,GOAL
evt_00080,S_003,2023-09-13,GAME,CF OS BELENENSES,21,LW,7M,97,0.36,1.69,478,1.56,BASIC,142,GOAL
evt_00081,S_003,2023-09-13,GAME,CF OS BELENENSES,22,PV,BOUNCE,100,1.01,1.34,240,5.25,BASIC,156,SAVE
evt_00082,S_003,2023-09-13,GAME,CF OS BELENENSES,24,PV,HIP,89,0.28,1.72,336,2.7,BASIC,141,GOAL
evt_00083,S_003,2023-09-13,GAME,CF OS BELENENSES,25,LW,BOUNCE,71,2.56,1.54,324,1.85,BASIC,142,GOAL
evt_00084,S_003,2023-09-13,GAME,CF OS BELENENSES,27,RB,LOB,80,0.84,1.32,272,3.61,BASIC,156,SAVE
evt_00085,S_003,2023-09-13,GAME,CF OS BELENENSES,29,LB,LOB,81,0.12,1.62,297,2.63,BASIC,166,GOAL
evt_00086,S_003,2023-09-13,GAME,CF OS BELENENSES,30,LW,7M,99,0.87,1.07,223,1.73,BASIC,141,MISS
evt_00087,S_003,2023-09-13,GAME,CF OS BELENENSES,32,CB,LOB,87,0.25,1.72,413,2.41,SPLIT,159,GOAL
evt_00088,S_003,2023-09-13,GAME,CF OS BELENENSES,34,LW,HIP,82,2.8,1.71,423,2.86,SPLIT,155,GOAL
evt_00089,S_003,2023-09-13,GAME,CF OS BELENENSES,35,RW,7M,99,0.2,0.1,488,1.55,BASIC,148,GOAL
evt_00090,S_003,2023-09-13,GAME,CF OS BELENENSES,37,RW,JUMP,83,2.42,0.64,194,3.84,SPLIT,167,SAVE
evt_00091,S_003,2023-09-13,GAME,CF OS BELENENSES,38,RW,LOB,100,2.18,0.61,212,4.19,STAR,172,SAVE
evt_00092,S_003,2023-09-13,GAME,CF OS BELENENSES,40,CB,7M,85,0.24,1.73,481,3.32,BASIC,165,GOAL
evt_00093,S_003,2023-09-13,GAME,CF OS BELENENSES,42,RB,LOB,103,2.85,1.55,336,2.67,SPLIT,146,GOAL
evt_00094,S_003,2023-09-13,GAME,CF OS BELENENSES,43,LB,JUMP,79,2.26,0.82,249,4.65,STAR,146,SAVE
evt_00095,S_003,2023-09-13,GAME,CF OS BELENENSES,45,RB,JUMP,110,1.42,0.89,239,3.64,BASIC,147,SAVE
evt_00096,S_003,2023-09-13,GAME,CF OS BELENENSES,47,RW,BOUNCE,97,0.35,0.24,354,2.38,SPLIT,170,GOAL
evt_00097,S_003,2023-09-13,GAME,CF OS BELENENSES,48,LW,JUMP,96,2.56,1.68,487,2.46,SPLIT,170,GOAL
evt_00098,S_003,2023-09-13,GAME,CF OS BELENENSES,50,CB,LOB,70,0.27,1.67,343,2.23,BASIC,153,GOAL
evt_00099,S_003,2023-09-13,GAME,CF OS BELENENSES,51,PV,HIP,90,0.5,1.89,397,2.58,SPLIT,155,GOAL
evt_00100,S_003,2023-09-13,GAME,CF OS BELENENSES,53,PV,JUMP,84,0.28,1.69,458,1.53,SPLIT,155,GOAL
evt_00101,S_003,2023-09-13,GAME,CF OS BELENENSES,55,LW,JUMP,73,2.46,0.64,203,4.55,BASIC,180,SAVE
evt_00102,S_003,2023-09-13,GAME,CF OS BELENENSES,56,PV,HIP,72,2.19,0.88,235,5.44,BLOCK,153,SAVE
evt_00103,S_003,2023-09-13,GAME,CF OS BELENENSES,58,RB,JUMP,74,0.58,1.34,234,4.39,KICK,175,SAVE
evt_00104,S_004,2023-09-17,GAME,FC GAIA,1,PV,JUMP,79,2.12,0.62,204,4.22,BASIC,139,SAVE
evt_00105,S_004,2023-09-17,GAME,FC GAIA,1,LB,BOUNCE,102,0.22,0.35,479,2.93,SPLIT,140,GOAL
evt_00106,S_004,2023-09-17,GAME,FC GAIA,3,CB,JUMP,102,0.21,1.56,403,1.42,BASIC,150,GOAL
evt_00107,S_004,2023-09-17,GAME,FC GAIA,5,CB,BOUNCE,85,2.61,0.43,327,3.14,SPLIT,139,GOAL
evt_00108,S_004,2023-09-17,GAME,FC GAIA,7,PV,JUMP,110,1.57,0.97,205,5.6,BLOCK,130,SAVE
evt_00109,S_004,2023-09-17,GAME,FC GAIA,8,LW,HIP,105,1.95,1.35,225,4.93,BLOCK,154,SAVE
evt_00110,S_004,2023-09-17,GAME,FC GAIA,10,CB,HIP,106,0.27,0.15,385,1.36,SPLIT,126,GOAL
evt_00111,S_004,2023-09-17,GAME,FC GAIA,12,PV,HIP,88,0.35,0.49,351,3.28,SPLIT,147,GOAL
evt_00112,S_004,2023-09-17,GAME,FC GAIA,14,CB,JUMP,97,2.52,0.4,345,1.49,SPLIT,144,GOAL
evt_00113,S_004,2023-09-17,GAME,FC GAIA,15,RB,JUMP,93,0.42,0.27,374,1.57,BASIC,139,GOAL
evt_00114,S_004,2023-09-17,GAME,FC GAIA,17,LB,LOB,74,0.28,1.69,489,1.24,SPLIT,138,GOAL
evt_00115,S_004,2023-09-17,GAME,FC GAIA,19,RB,LOB,83,1.1,0.84,238,4.54,SPLIT,132,SAVE
evt_00116,S_004,2023-09-17,GAME,FC GAIA,21,CB,7M,93,2.78,1.51,473,1.9,BASIC,136,GOAL
evt_00117,S_004,2023-09-17,GAME,FC GAIA,22,RB,7M,86,2.14,1.0,192,5.3,SPLIT,155,SAVE
evt_00118,S_004,2023-09-17,GAME,FC GAIA,24,LW,JUMP,104,1.42,1.08,191,5.61,SPLIT,152,SAVE
evt_00119,S_004,2023-09-17,GAME,FC GAIA,26,LB,HIP,81,2.67,1.53,356,1.44,SPLIT,143,GOAL
evt_00120,S_004,2023-09-17,GAME,FC GAIA,28,PV,JUMP,76,0.33,1.56,350,2.62,BASIC,146,GOAL
evt_00121,S_004,2023-09-17,GAME,FC GAIA,30,CB,LOB,92,2.12,1.0,183,4.92,STAR,151,SAVE
evt_00122,S_004,2023-09-17,GAME,FC GAIA,31,CB,LOB,85,2.32,1.02,260,5.93,STAR,143,SAVE
evt_00123,S_004,2023-09-17,GAME,FC GAIA,33,LW,LOB,89,0.3,0.48,474,1.76,SPLIT,140,GOAL
evt_00124,S_004,2023-09-17,GAME,FC GAIA,35,LB,LOB,98,0.32,0.26,465,1.06,SPLIT,157,GOAL
evt_00125,S_004,2023-09-17,GAME,FC GAIA,37,LB,7M,89,0.37,0.32,400,1.26,BASIC,142,GOAL
evt_00126,S_004,2023-09-17,GAME,FC GAIA,38,RW,JUMP,78,0.78,0.84,219,5.58,STAR,149,SAVE
evt_00127,S_004,2023-09-17,GAME,FC GAIA,40,CB,LOB,85,2.83,1.87,366,2.16,SPLIT,173,GOAL
evt_00128,S_004,2023-09-17,GAME,FC GAIA,42,RB,HIP,71,0.51,1.36,206,1.17,BASIC,171,MISS
evt_00129,S_004,2023-09-17,GAME,FC GAIA,44,LW,BOUNCE,104,0.56,0.79,265,5.66,BLOCK,153,SAVE
evt_00130,S_004,2023-09-17,GAME,FC GAIA,45,LW,7M,109,1.05,1.31,241,5.92,BASIC,164,SAVE
evt_00131,S_004,2023-09-17,GAME,FC GAIA,47,RB,LOB,104,1.64,1.18,202,5.76,STAR,159,SAVE
evt_00132,S_004,2023-09-17,GAME,FC GAIA,49,LB,7M,105,0.37,0.3,425,3.39,BASIC,172,GOAL
evt_00133,S_004,2023-09-17,GAME,FC GAIA,51,PV,HIP,83,0.21,0.32,445,2.94,SPLIT,161,GOAL
evt_00134,S_004,2023-09-17,GAME,FC GAIA,52,RB,LOB,109,1.19,0.87,237,4.41,SPLIT,158,SAVE
evt_00135,S_004,2023-09-17,GAME,FC GAIA,54,PV,HIP,88,0.47,0.24,311,1.88,BASIC,177,GOAL
evt_00136,S_004,2023-09-17,GAME,FC GAIA,56,RW,BOUNCE,89,2.69,0.32,383,2.74,SPLIT,173,GOAL
evt_00137,S_004,2023-09-17,GAME,FC GAIA,58,CB,7M,95,2.84,0.35,319,1.45,BASIC,162,GOAL
evt_00138,S_005,2023-09-23,TRAINING,N/A,1,PV,HIP,83,1.82,0.66,338,2.27,BASIC,108,MISS
evt_00139,S_005,2023-09-23,TRAINING,N/A,4,RW,JUMP,92,1.99,1.16,390,1.6,BASIC,113,MISS
evt_00140,S_005,2023-09-23,TRAINING,N/A,8,LB,7M,101,0.41,1.64,472,3.06,SPLIT,134,GOAL
evt_00141,S_005,2023-09-23,TRAINING,N/A,12,RB,7M,94,1.88,1.03,267,3.99,STAR,132,SAVE
evt_00142,S_005,2023-09-23,TRAINING,N/A,16,LW,BOUNCE,89,0.7,0.63,209,5.01,SPLIT,121,SAVE
evt_00143,S_005,2023-09-23,TRAINING,N/A,20,PV,JUMP,79,0.5,1.59,376,2.29,SPLIT,136,GOAL
evt_00144,S_005,2023-09-23,TRAINING,N/A,24,PV,LOB,105,0.31,1.53,378,2.2,SPLIT,134,GOAL
evt_00145,S_005,2023-09-23,TRAINING,N/A,28,CB,BOUNCE,92,0.94,1.3,248,1.76,BASIC,137,MISS
evt_00146,S_005,2023-09-23,TRAINING,N/A,32,LB,JUMP,103,2.59,0.45,315,2.9,SPLIT,132,GOAL
evt_00147,S_005,2023-09-23,TRAINING,N/A,36,RB,LOB,106,2.87,1.62,456,2.07,BASIC,150,GOAL
evt_00148,S_005,2023-09-23,TRAINING,N/A,40,RB,BOUNCE,85,1.66,1.42,370,2.16,BASIC,135,MISS
evt_00149,S_005,2023-09-23,TRAINING,N/A,45,CB,HIP,80,2.8,0.26,375,1.41,BASIC,134,GOAL
evt_00150,S_005,2023-09-23,TRAINING,N/A,49,RB,7M,82,0.24,0.21,477,1.43,BASIC,139,GOAL
evt_00151,S_005,2023-09-23,TRAINING,N/A,53,RB,7M,78,2.81,1.53,387,1.48,SPLIT,159,GOAL
evt_00152,S_005,2023-09-23,TRAINING,N/A,57,PV,LOB,90,2.16,0.7,211,5.27,BASIC,141,SAVE
evt_00153,S_005,2023-09-23,TRAINING,N/A,61,LW,JUMP,91,2.27,0.72,271,5.42,SPLIT,136,SAVE
evt_00154,S_005,2023-09-23,TRAINING,N/A,65,PV,7M,78,1.24,0.53,240,4.24,BASIC,151,SAVE
evt_00155,S_005,2023-09-23,TRAINING,N/A,69,LB,HIP,108,1.13,1.21,256,3.62,SPLIT,156,SAVE
evt_00156,S_005,2023-09-23,TRAINING,N/A,73,LW,LOB,88,0.97,1.34,239,4.72,SPLIT,145,SAVE
evt_00157,S_005,2023-09-23,TRAINING,N/A,77,RB,JUMP,99,0.58,0.68,330,2.97,BASIC,168,MISS
evt_00158,S_005,2023-09-23,TRAINING,N/A,81,PV,JUMP,95,2.66,0.44,411,3.24,BASIC,150,GOAL
evt_00159,S_005,2023-09-23,TRAINING,N/A,85,RW,JUMP,82,0.12,1.78,353,1.75,BASIC,156,GOAL
evt_00160,S_006,2023-09-26,TRAINING,N/A,1,LW,7M,70,1.99,0.62,257,5.27,BLOCK,127,SAVE
evt_00161,S_006,2023-09-26,TRAINING,N/A,2,RW,HIP,86,0.34,0.24,292,3.23,SPLIT,130,GOAL
evt_00162,S_006,2023-09-26,TRAINING,N/A,5,PV,HIP,100,2.58,0.45,448,1.97,BASIC,102,GOAL
evt_00163,S_006,2023-09-26,TRAINING,N/A,8,RB,7M,88,2.83,1.75,462,3.19,BASIC,110,GOAL
evt_00164,S_006,2023-09-26,TRAINING,N/A,11,CB,BOUNCE,104,2.48,1.45,312,2.38,BASIC,117,MISS
evt_00165,S_006,2023-09-26,TRAINING,N/A,14,LB,7M,100,0.14,0.19,449,2.55,BASIC,116,GOAL
evt_00166,S_006,2023-09-26,TRAINING,N/A,17,PV,JUMP,86,1.68,1.41,202,3.55,STAR,136,SAVE
evt_00167,S_006,2023-09-26,TRAINING,N/A,20,PV,BOUNCE,80,0.9,0.62,266,5.42,STAR,128,SAVE
evt_00168,S_006,2023-09-26,TRAINING,N/A,23,CB,LOB,96,0.35,0.34,494,3.27,BASIC,135,GOAL
evt_00169,S_006,2023-09-26,TRAINING,N/A,26,RB,7M,105,0.18,1.65,459,2.08,SPLIT,128,GOAL
evt_00170,S_006,2023-09-26,TRAINING,N/A,29,PV,7M,109,0.19,0.41,487,1.31,SPLIT,142,GOAL
evt_00171,S_006,2023-09-26,TRAINING,N/A,31,CB,HIP,92,2.79,1.85,486,3.0,BASIC,137,GOAL
evt_00172,S_006,2023-09-26,TRAINING,N/A,34,RW,LOB,108,1.09,0.54,315,1.28,BASIC,133,MISS
evt_00173,S_006,2023-09-26,TRAINING,N/A,37,LB,LOB,71,2.67,1.85,324,2.88,SPLIT,145,GOAL
evt_00174,S_006,2023-09-26,TRAINING,N/A,40,LB,BOUNCE,98,2.47,0.84,292,1.92,BASIC,146,MISS
evt_00175,S_006,2023-09-26,TRAINING,N/A,43,CB,LOB,70,0.59,1.28,232,3.74,KICK,133,SAVE
evt_00176,S_006,2023-09-26,TRAINING,N/A,46,RW,BOUNCE,102,0.19,0.42,337,1.58,BASIC,128,GOAL
evt_00177,S_006,2023-09-26,TRAINING,N/A,49,PV,BOUNCE,74,2.84,1.51,419,2.99,BASIC,153,GOAL
evt_00178,S_006,2023-09-26,TRAINING,N/A,52,PV,7M,107,0.63,0.89,238,5.2,SPLIT,151,SAVE
evt_00179,S_006,2023-09-26,TRAINING,N/A,55,CB,BOUNCE,104,2.54,1.83,338,3.01,SPLIT,135,GOAL
evt_00180,S_006,2023-09-26,TRAINING,N/A,58,PV,BOUNCE,108,0.35,1.8,382,1.01,BASIC,153,GOAL
evt_00181,S_006,2023-09-26,TRAINING,N/A,60,CB,BOUNCE,110,2.24,0.98,222,5.52,STAR,162,SAVE
evt_00182,S_006,2023-09-26,TRAINING,N/A,63,LW,7M,100,1.24,0.57,269,5.6,STAR,165,SAVE
evt_00183,S_006,2023-09-26,TRAINING,N/A,66,RB,7M,107,2.65,0.33,420,2.55,BASIC,138,GOAL
evt_00184,S_006,2023-09-26,TRAINING,N/A,69,LW,LOB,101,0.21,1.86,325,3.02,BASIC,156,GOAL
evt_00185,S_006,2023-09-26,TRAINING,N/A,72,LW,HIP,89,1.8,0.79,214,4.71,BASIC,161,SAVE
evt_00186,S_006,2023-09-26,TRAINING,N/A,75,LB,HIP,80,1.34,0.86,212,4.77,KICK,160,SAVE
evt_00187,S_006,2023-09-26,TRAINING,N/A,78,LW,HIP,108,2.54,1.82,323,3.05,BASIC,168,GOAL
evt_00188,S_006,2023-09-26,TRAINING,N/A,81,RB,HIP,74,1.5,1.29,320,2.71,BASIC,160,MISS
evt_00189,S_006,2023-09-26,TRAINING,N/A,84,PV,7M,102,0.3,0.47,462,3.08,SPLIT,169,GOAL
evt_00190,S_006,2023-09-26,TRAINING,N/A,87,LW,HIP,101,1.39,1.38,243,3.9,KICK,174,SAVE
evt_00191,S_007,2023-10-01,TRAINING,N/A,1,LB,HIP,87,0.27,0.15,469,2.89,SPLIT,110,GOAL
evt_00192,S_007,2023-10-01,TRAINING,N/A,2,RW,7M,70,0.59,1.45,207,4.82,KICK,126,SAVE
evt_00193,S_007,2023-10-01,TRAINING,N/A,5,CB,BOUNCE,106,0.43,0.15,476,1.78,BASIC,123,GOAL
evt_00194,S_007,2023-10-01,TRAINING,N/A,7,CB,JUMP,91,1.21,1.41,357,1.57,BASIC,116,MISS
evt_00195,S_007,2023-10-01,TRAINING,N/A,10,RB,7M,110,2.68,1.71,477,1.62,BASIC,106,GOAL
evt_00196,S_007,2023-10-01,TRAINING,N/A,12,LB,7M,104,1.2,0.9,243,3.94,KICK,131,SAVE
evt_00197,S_007,2023-10-01,TRAINING,N/A,15,PV,HIP,105,2.77,1.77,429,3.14,SPLIT,128,GOAL
evt_00198,S_007,2023-10-01,TRAINING,N/A,17,LB,HIP,89,0.11,1.5,388,1.77,SPLIT,120,GOAL
evt_00199,S_007,2023-10-01,TRAINING,N/A,20,RW,7M,90,2.09,1.47,339,2.76,BASIC,122,MISS
evt_00200,S_007,2023-10-01,TRAINING,N/A,22,RW,7M,94,2.78,0.45,344,2.72,BASIC,136,GOAL
evt_00201,S_007,2023-10-01,TRAINING,N/A,25,LB,LOB,84,2.87,0.32,312,3.32,SPLIT,125,GOAL
evt_00202,S_007,2023-10-01,TRAINING,N/A,27,CB,BOUNCE,93,0.17,1.68,449,2.17,SPLIT,117,GOAL
evt_00203,S_007,2023-10-01,TRAINING,N/A,30,RW,BOUNCE,78,2.54,1.8,367,1.9,BASIC,133,GOAL
evt_00204,S_007,2023-10-01,TRAINING,N/A,32,PV,BOUNCE,73,2.1,1.1,200,3.77,KICK,132,SAVE
evt_00205,S_007,2023-10-01,TRAINING,N/A,35,PV,HIP,102,0.26,1.83,441,1.98,BASIC,137,GOAL
evt_00206,S_007,2023-10-01,TRAINING,N/A,37,PV,7M,94,2.86,0.29,393,1.95,BASIC,131,GOAL
evt_00207,S_007,2023-10-01,TRAINING,N/A,40,RB,HIP,72,2.23,1.18,209,4.65,SPLIT,124,SAVE
evt_00208,S_007,2023-10-01,TRAINING,N/A,42,LW,JUMP,101,1.43,1.04,273,4.35,STAR,150,SAVE
